train_loss,training_time,testing_loss,learning_rate,batch_size,hidden_nodes,deep_nn
0.007840485152899923,15.681669473648071,0.0003497187022406618,0.1,32,32,1
0.023357319783818865,18.776135444641113,0.00042112329926764335,0.1,32,32,2
46.004857588410374,21.540605783462524,0.015613315741209046,0.1,32,32,3
0.011872959498464297,8.65241289138794,0.00033378115572639424,0.1,64,32,1
0.006040468081747008,11.022459745407104,0.00029861285833119385,0.1,64,32,2
0.019329062745810005,12.640843629837036,0.0002966001380085928,0.1,64,32,3
0.003520713305285312,5.618339776992798,0.0003274267920610244,0.1,128,32,1
5.3211377310731225e-05,5.88840126991272,0.00032809626123483194,0.1,128,32,2
9.512123125195503,6.546746730804443,0.0015305836174442356,0.1,128,32,3
0.004112376217926794,5.088990926742554,0.0003071577168525916,0.1,256,32,1
0.003821346032291331,5.601361989974976,0.00034738287794169593,0.1,256,32,2
0.0057152897593914535,6.163260221481323,0.0004712191142365409,0.1,256,32,3
0.01761685443627357,4.485798597335815,0.00034078128451035415,0.1,1000,32,1
0.00048525627760682256,4.612468957901001,0.00045871521714674324,0.1,1000,32,2
0.033843562287802345,4.696929454803467,0.0003240789385888718,0.1,1000,32,3
0.0009461025917946486,13.533262729644775,0.0003118800701509302,0.01,32,32,1
0.002642600823898107,16.855413675308228,0.0003000161880031338,0.01,32,32,2
0.0028266990386475043,19.121731758117676,0.0003196396369911139,0.01,32,32,3
0.002107776856810233,9.502502679824829,0.0002828315385346826,0.01,64,32,1
0.0026410057190747694,9.878448963165283,0.0003862309876624033,0.01,64,32,2
0.003553200958289153,11.027763366699219,0.0003522995900826188,0.01,64,32,3
0.0017128120928146017,5.40444016456604,0.0003034792551509551,0.01,128,32,1
0.0019953372368718193,6.539177179336548,0.000326946800567474,0.01,128,32,2
0.000739872066717453,6.520873546600342,0.0002509947089361685,0.01,128,32,3
0.0012808349517217721,4.139130353927612,0.0002724027256619552,0.01,256,32,1
0.003330155774792729,4.376466512680054,0.000285303122916235,0.01,256,32,2
0.003389958905254389,4.776208877563477,0.00031814246388327114,0.01,256,32,3
0.00012984124761715067,3.641721248626709,0.00030262339634308755,0.01,1000,32,1
0.00016153029355336912,3.948640823364258,0.0003188657950051743,0.01,1000,32,2
0.0007838348754739855,3.9439566135406494,0.00036769847214949936,0.01,1000,32,3
6.47609934700455e-05,13.558545589447021,0.00022025670764005433,0.001,32,32,1
0.00020314004082557345,16.147873640060425,0.00027669906894900253,0.001,32,32,2
0.0003975140186732062,18.93914556503296,0.0002835712941257406,0.001,32,32,3
6.268328539476897e-05,8.155069589614868,0.000282358801657154,0.001,64,32,1
0.00013848922634394965,9.576557159423828,0.0003324565679187791,0.001,64,32,2
0.0001996391764942018,10.728391408920288,0.00034784259997029855,0.001,64,32,3
0.00010360183452121419,5.29773736000061,0.0003068309530242647,0.001,128,32,1
0.00015507341979628108,6.16858983039856,0.0002141919187847158,0.001,128,32,2
0.0002739893401349036,6.864992141723633,0.0002703362398704238,0.001,128,32,3
0.00016102700239571278,4.293227910995483,0.0002316118961988352,0.001,256,32,1
0.00042096790166397114,4.436683416366577,0.0003699967937007008,0.001,256,32,2
0.00027492993838677647,5.2403013706207275,0.00026239551612779367,0.001,256,32,3
0.022987631671130656,3.826664924621582,0.00040212554411057623,0.001,1000,32,1
0.0008226867596386001,4.082282304763794,0.0003393171774352235,0.001,1000,32,2
0.0004824150909553282,4.025997877120972,0.00042334067190274055,0.001,1000,32,3
7.250608312531882e-05,14.42483139038086,0.00029917715338858696,0.0001,32,32,1
0.00014491278038718746,17.261861085891724,0.0003892143671068099,0.0001,32,32,2
5.768924605064285e-05,20.03256607055664,0.0003056426958703792,0.0001,32,32,3
0.00019769887166148692,8.320963144302368,0.00028877042998043465,0.0001,64,32,1
0.00012980127158925824,9.446021318435669,0.00030418025204507213,0.0001,64,32,2
0.00012092651911416397,10.827880382537842,0.0003441659286065833,0.0001,64,32,3
0.0042227522048051466,5.737473011016846,0.00040448278630629244,0.0001,128,32,1
0.0013970581439934904,6.130771160125732,0.00041994582157785617,0.0001,128,32,2
0.0003168132874816365,7.482634782791138,0.00033093499081079524,0.0001,128,32,3
0.14309189964551478,4.318317174911499,0.00045372858628510106,0.0001,256,32,1
0.04609182737767696,4.7598042488098145,0.0003865452611226464,0.0001,256,32,2
0.002487927578331437,6.039273023605347,0.00047105938781356676,0.0001,256,32,3
16.06782304763794,4.541802406311035,0.005404413703630782,0.0001,1000,32,1
0.8069252562522888,4.75513219833374,0.0006074971922277026,0.0001,1000,32,2
0.2574815104901791,4.8378400802612305,0.0006034817540380817,0.0001,1000,32,3
0.1591244822867884,15.893478870391846,0.0004664252478977715,1e-05,32,32,1
0.034333285764860194,16.78186559677124,0.00041717596866141946,1e-05,32,32,2
0.0018427250409013142,19.28278350830078,0.000401823585129758,1e-05,32,32,3
4.739711426049471,8.512517213821411,0.001571980546734475,1e-05,64,32,1
